red_fruit,red_vegetable,blue_car,blue_train
red orchard fruit season 1 apple apple 0,red orchard fruit season 1 berry berry 0,blue highway vehicle season 1 car car 0,blue highway vehicle season 1 train train 0
red orchard fruit season 2 apple apple 1,red orchard fruit season 2 berry berry 1,blue highway vehicle season 2 car car 1,blue highway vehicle season 2 train train 1
red orchard fruit season 3 apple apple 2,red orchard fruit season 3 berry berry 2,blue highway vehicle season 3 car car 2,blue highway vehicle season 3 train train 2
red orchard fruit season 1 apple apple 3,red orchard fruit season 1 berry berry 3,blue highway vehicle season 1 car car 3,blue highway vehicle season 1 train train 3
red orchard fruit season 2 apple apple 4,red orchard fruit season 2 berry berry 4,blue highway vehicle season 2 car car 4,blue highway vehicle season 2 train train 4
red orchard fruit season 3 apple apple 5,red orchard fruit season 3 berry berry 5,blue highway vehicle season 3 car car 5,blue highway vehicle season 3 train train 5
red orchard fruit season 1 apple apple 6,red orchard fruit season 1 berry berry 6,blue highway vehicle season 1 car car 6,blue highway vehicle season 1 train train 6
red orchard fruit season 2 apple apple 7,red orchard fruit season 2 berry berry 7,blue highway vehicle season 2 car car 7,blue highway vehicle season 2 train train 7
red orchard fruit season 3 apple apple 8,red orchard fruit season 3 berry berry 8,blue highway vehicle season 3 car car 8,blue highway vehicle season 3 train train 8
red orchard fruit season 1 apple apple 9,red orchard fruit season 1 berry berry 9,blue highway vehicle season 1 car car 9,blue highway vehicle season 1 train train 9
red orchard fruit season 2 apple apple 10,red orchard fruit season 2 berry berry 10,blue highway vehicle season 2 car car 10,blue highway vehicle season 2 train train 10
red orchard fruit season 3 apple apple 11,red orchard fruit season 3 berry berry 11,blue highway vehicle season 3 car car 11,blue highway vehicle season 3 train train 11
